Span Loc(m)	Chord(m)	IB Height(m)	IB Width(m)	Web Height(m)	Web Width(m)	IB Area(m2)	Moment(Nm)	Wing Weight(N/m)
0.564000	0.516681	0.038751	0.068719	0.019702	0.001000	0.001329	799.262075	45.130275
0.566000	0.516658	0.038749	0.068715	0.019727	0.001000	0.001327	798.405644	45.078483
0.568000	0.516634	0.038748	0.068712	0.019753	0.001000	0.001325	797.549719	45.026752
0.570000	0.516610	0.038746	0.068709	0.019779	0.001000	0.001323	796.694301	44.975080
0.572000	0.516586	0.038744	0.068706	0.019804	0.001000	0.001321	795.839388	44.923469
0.574000	0.516562	0.038742	0.068703	0.019830	0.001000	0.001319	794.984981	44.871918
0.576000	0.516538	0.038740	0.068700	0.019855	0.001000	0.001317	794.131080	44.820428
0.578000	0.516514	0.038739	0.068696	0.019881	0.001000	0.001315	793.277685	44.768998
0.580000	0.516490	0.038737	0.068693	0.019906	0.001000	0.001313	792.424796	44.717628
0.582000	0.516465	0.038735	0.068690	0.019931	0.001000	0.001312	791.572413	44.666319
0.584000	0.516441	0.038733	0.068687	0.019956	0.001000	0.001310	790.720536	44.615070
0.586000	0.516416	0.038731	0.068683	0.019982	0.001000	0.001308	789.869164	44.563882
0.588000	0.516392	0.038729	0.068680	0.020007	0.001000	0.001306	789.018298	44.512755
0.590000	0.516367	0.038728	0.068677	0.020032	0.001000	0.001304	788.167938	44.461689
0.592000	0.516342	0.038726	0.068674	0.020057	0.001000	0.001302	787.318084	44.410683
0.594000	0.516317	0.038724	0.068670	0.020082	0.001000	0.001300	786.468736	44.359738
0.596000	0.516293	0.038722	0.068667	0.020107	0.001000	0.001298	785.619893	44.308855
0.598000	0.516268	0.038720	0.068664	0.020132	0.001000	0.001296	784.771556	44.258032
0.600000	0.516242	0.038718	0.068660	0.020157	0.001000	0.001295	783.923724	44.207270
0.602000	0.516217	0.038716	0.068657	0.020182	0.001000	0.001293	783.076398	44.156569
0.604000	0.516192	0.038714	0.068654	0.020207	0.001000	0.001291	782.229578	44.105930
0.606000	0.516167	0.038712	0.068650	0.020232	0.001000	0.001289	781.383263	44.055351
0.608000	0.516141	0.038711	0.068647	0.020257	0.001000	0.001287	780.537454	44.004834
0.610000	0.516116	0.038709	0.068643	0.020281	0.001000	0.001285	779.692150	43.954378
0.612000	0.516090	0.038707	0.068640	0.020306	0.001000	0.001283	778.847352	43.903983
0.614000	0.516064	0.038705	0.068637	0.020331	0.001000	0.001281	778.003059	43.853650
0.616000	0.516039	0.038703	0.068633	0.020355	0.001000	0.001280	777.159272	43.803378
0.618000	0.516013	0.038701	0.068630	0.020380	0.001000	0.001278	776.315990	43.753168
0.620000	0.515987	0.038699	0.068626	0.020405	0.001000	0.001276	775.473213	43.703019
0.622000	0.515961	0.038697	0.068623	0.020429	0.001000	0.001274	774.630942	43.652931
0.624000	0.515935	0.038695	0.068619	0.020453	0.001000	0.001272	773.789176	43.602905
0.626000	0.515908	0.038693	0.068616	0.020478	0.001000	0.001270	772.947916	43.552940
0.628000	0.515882	0.038691	0.068612	0.020502	0.001000	0.001268	772.107161	43.503037
0.630000	0.515856	0.038689	0.068609	0.020527	0.001000	0.001267	771.266911	43.453196
0.632000	0.515829	0.038687	0.068605	0.020551	0.001000	0.001265	770.427166	43.403417
0.634000	0.515803	0.038685	0.068602	0.020575	0.001000	0.001263	769.587926	43.353699
